,symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta.symbol,meta.companyName,meta.industry,meta.activeSeries,meta.debtSeries,meta.tempSuspendedSeries,meta.isFNOSec,meta.isCASec,meta.isSLBSec,meta.isDebtSec,meta.isSuspended,meta.isETFSec,meta.isDelisted,meta.isin
42,LICNETFSEN,SENSEX,610,610,580.73,583.5,5.92,1.02,898,523471.14,,677.4,523.99,-,-,4.528680448568659,-2.6364091440013273,577.58,13.86182462356067,-11.357086967308534,https://static.nseindia.com/sparklines/today/LICNETFSENEQN.jpg,3.47,06-Jul-2021,https://static.nseindia.com/sparklines/365d/LICNETFSEN-EQ.jpg,06-Jun-2022,-3.62,https://static.nseindia.com/sparklines/30d/LICNETFSEN-EQ.jpg,LICNETFSEN,LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX,,['EQ'],[],[],False,False,True,False,False,True,False,INF767K01OT5
43,JUNIORBEES,Nifty Next 50,413.99,413.99,391.26,403.77,4.09,1.02,146163,58921228.56,,532.75,360.5,10-MAR-14,DIVIDEND-RS.1 PER UNIT,-0.5149558961218232,0.2831383652484878,399.68,24.21022993899578,-12.002773925104018,https://static.nseindia.com/sparklines/today/JUNIORBEESEQN.jpg,-1.52,06-Jul-2021,https://static.nseindia.com/sparklines/365d/JUNIORBEES-EQ.jpg,06-Jun-2022,-0.73,https://static.nseindia.com/sparklines/30d/JUNIORBEES-EQ.jpg,JUNIORBEES,NIPPON INDIA ETF JUNIOR BEES,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF732E01045
44,MANXT50,Nifty Next 50,384.6,386.6,383.38,385.77,3.9,1.02,850,327454,,530.18,352.79,-,-,-0.21985412032487267,0.5709369623025178,381.87,27.23791919725376,-9.348337537912062,https://static.nseindia.com/sparklines/today/MANXT50EQN.jpg,-1.23,06-Jul-2021,https://static.nseindia.com/sparklines/365d/MANXT50-EQ.jpg,06-Jun-2022,-0.45,https://static.nseindia.com/sparklines/30d/MANXT50-EQ.jpg,MANXT50,Mirae Asset Mutual Fund - MIRAE ASSET NIFTY NEXT 50 ETF (MANXT50) - Mi,,['EQ'],[],[],False,False,True,False,False,True,False,INF769K01FN2
45,IVZINNIFTY,Nifty 50,1695.9,1766.25,1695.9,1766.25,17.9,1.02,13,22750.13,,2319,1382.78,24-DEC-12,DIVIDEND-RS.5/- PER UNIT,1.7718236819360416,-2.645721372467962,1748.35,23.835705045278136,-27.731815617813393,https://static.nseindia.com/sparklines/today/IVZINNIFTYEQN.jpg,0.74,06-Jul-2021,https://static.nseindia.com/sparklines/365d/IVZINNIFTY-EQ.jpg,06-Jun-2022,-3.63,https://static.nseindia.com/sparklines/30d/IVZINNIFTY-EQ.jpg,IVZINNIFTY,Invesco India Nifty Exchange Traded Fund,,['EQ'],[],[],False,False,True,False,False,True,False,INF205K01DA9
46,KOTAKNIFTY,Nifty 50,170.68,171.62,169.82,171.34,1.69,1.00,155110,26429192.9,,210,161.63,27-JUL-17, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 1/- PER SHARE,3.154726068633359,-2.4426350851221272,169.65,18.409523809523808,-6.007548103693626,https://static.nseindia.com/sparklines/today/KOTAKNIFTYEQN.jpg,2.14,06-Jul-2021,https://static.nseindia.com/sparklines/365d/KOTAKNIFTY-EQ.jpg,06-Jun-2022,-3.4,https://static.nseindia.com/sparklines/30d/KOTAKNIFTY-EQ.jpg,KOTAKNIFTY,Kotak Mahindra Mutual Fund-Kotak Nifty ETF,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF174K014P6
47,DSPQ50ETF,Nifty Midcap 150 Quality 50 Index,155,156,154,155.06,1.51,0.98,1751,271545.08,,189,146,-,-,Infinity,-2.0838595604950814,153.55,17.95767195767196,-6.205479452054796,https://static.nseindia.com/sparklines/today/DSPQ50ETFEQN.jpg,-,-,-,06-Jun-2022,-3.04,https://static.nseindia.com/sparklines/30d/DSPQ50ETF-EQ.jpg,DSPQ50ETF,DSP  Mutual Fund - DSP Nifty Midcap 150 Quality 50 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF740KA1QL0
48,ICICINV20,Nifty50 Value 20,92.7,92.7,86,89.89,0.86,0.97,31496,2831175.44,,112.1,73.2,-,-,7.203339296362561,-2.0379250217959943,89.03,19.81266726137377,-22.800546448087427,https://static.nseindia.com/sparklines/today/ICICINV20EQN.jpg,6.18,06-Jul-2021,https://static.nseindia.com/sparklines/365d/ICICINV20-EQ.jpg,06-Jun-2022,-2.98,https://static.nseindia.com/sparklines/30d/ICICINV20-EQ.jpg,ICICINV20,ICICI Prudential Nifty50 Value 20 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF109KB1WY5
49,MOM50,Nifty 50,162.4,162.4,160.66,161.76,1.53,0.95,1205,194655.7,,194,150.46,16-OCT-14,FACE VALUE SPLIT FROM RS.10/- TO RS.7/-,3.645799961555711,-2.7066041140382535,160.23,16.618556701030933,-7.510301741326586,https://static.nseindia.com/sparklines/today/MOM50EQN.jpg,2.67,06-Jul-2021,https://static.nseindia.com/sparklines/365d/MOM50-EQ.jpg,06-Jun-2022,-3.63,https://static.nseindia.com/sparklines/30d/MOM50-EQ.jpg,MOM50,Motilal Oswal Mutual Fund - Motilal Oswal M50 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF247L01536
50,AXISNIFTY,Nifty 50,170.05,170.95,169.52,170.49,1.59,0.94,3822,649816.44,,212.22,160.03,23-JUL-20, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER SHARE TO RS 10/- PER SHARE,3.6161419715570786,-2.6605766485869236,168.9,19.663556686457447,-6.536274448540905,https://static.nseindia.com/sparklines/today/AXISNIFTYEQN.jpg,2.65,06-Jul-2021,https://static.nseindia.com/sparklines/365d/AXISNIFTY-EQ.jpg,06-Jun-2022,-3.57,https://static.nseindia.com/sparklines/30d/AXISNIFTY-EQ.jpg,AXISNIFTY,AXIS MUTUAL FUND - Axis NIFTY 50 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF846K01W98
51,MAN50ETF,Nifty 50,168.48,168.48,166.83,168,1.51,0.91,4203,704927.16,,210.8,143.7,-,-,3.3846153846153846,-2.149222435785426,166.49,20.303605313092984,-16.910229645093953,https://static.nseindia.com/sparklines/today/MAN50ETFEQN.jpg,2.46,06-Jul-2021,https://static.nseindia.com/sparklines/365d/MAN50ETF-EQ.jpg,06-Jun-2022,-3.03,https://static.nseindia.com/sparklines/30d/MAN50ETF-EQ.jpg,MAN50ETF,Mirae Asset Mutual Fund - Mirae Asset Nifty 50 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF769K01EG9
